Datums,Laiks,Atkartotas reizes
21-01-2024,18:01:58,70
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.4906
2,250000,7.728
3,250000,7.7138
4,250000,7.6027
5,250000,8.0853
6,250000,8.1229
7,250000,7.7329
8,250000,7.5611
9,250000,7.7199
10,250000,7.9237
11,250000,8.0991
12,250000,7.6634
13,250000,8.5099
14,250000,7.5907
15,250000,8.0338
16,250000,7.6281
17,250000,7.9253
18,250000,7.7225
19,250000,7.823
20,250000,7.5443
21,250000,7.9585
22,250000,7.6849
23,250000,8.5379
24,250000,7.854
25,250000,7.9237
26,250000,7.4997
27,250000,7.9572
28,250000,7.5804
29,250000,8.4104
30,250000,7.8758
31,250000,8.1484
32,250000,8.5161
33,250000,8.1397
34,250000,8.1107
35,250000,8.2226
36,250000,8.3246
37,250000,7.9283
38,250000,8.1163
39,250000,7.9332
40,250000,8.6022
41,250000,8.0734
42,250000,8.0722
43,250000,8.0426
44,250000,7.9279
45,250000,8.2809
46,250000,8.3695
47,250000,8.622
48,250000,7.9436
49,250000,9.1715
50,250000,7.7535
51,250000,8.3866
52,250000,8.3942
53,250000,8.6359
54,250000,7.9303
55,250000,9.1598
56,250000,8.4068
57,250000,8.0342
58,250000,7.9933
59,250000,8.0532
60,250000,7.916
61,250000,7.8492
62,250000,8.3098
63,250000,8.0017
64,250000,8.2125
65,250000,7.9294
66,250000,8.0644
67,250000,7.911
68,250000,8.1842
69,250000,8.0512
70,250000,7.6294

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
562.8557999999998,8.0408
